longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,Predicted_Price
-118.36,33.93,40.0,7.3938782901077555,6.2166061010848646,7.619233416226805,6.1675164908883415,2.6298,1,0,0,0,0,174747.13119047618
-117.22,34.26,16.0,8.989818381366925,7.267525427828172,7.4673710669175595,6.293419278846481,4.9716,0,1,0,0,0,167170.47218614724
-118.3,33.98,48.0,7.6004023345004,6.018593214496234,7.0707241072602764,5.948034989180646,3.0455,1,0,0,0,0,132616.70912698415
-115.51,33.24,32.0,7.59890045687141,6.261491684321042,6.975413927455952,6.018593214496234,1.6552,0,1,0,0,0,60799.99894179893
-118.45,34.0,39.0,7.554858521040676,5.886104031450156,6.7661917146603505,5.846438775057725,4.7,1,0,0,0,0,356297.5696861473
-121.13,37.74,31.0,6.519147287940395,4.976733742420574,6.261491684321042,5.075173815233827,2.4598,0,1,0,0,0,101243.45568783072
-117.76,33.72,11.0,8.413830678421084,6.428105272684596,7.597897950521784,6.352629396319567,10.4498,1,0,0,0,0,477486.4210317461
-119.34,36.32,6.0,8.09162741160107,6.405228458030842,7.478734825567875,6.364750756851911,3.1574,0,1,0,0,0,95364.66560846558
-118.37,34.1,37.0,6.0112671744041615,4.219507705176107,4.61512051684126,3.871201010907891,15.0001,1,0,0,0,0,493280.0139285714
-122.16,39.78,32.0,7.161622002939187,5.402677381872279,6.333279628139691,5.318119993844216,2.325,0,1,0,0,0,78377.42751322752
-120.65,35.27,27.0,7.618251097876695,5.834810737062605,6.645090969505644,5.75890177387728,4.2411,0,0,0,0,1,242773.8032621082
-122.43,37.77,52.0,8.1786387885907,6.725033642166843,7.44600149832412,6.669498089857879,3.3702,0,0,0,1,0,463521.66800264537
-119.12,36.19,21.0,7.880804344674901,6.142037405587356,7.1276936993473985,6.0112671744041615,2.9145,0,1,0,0,0,78385.86825396823
-117.97,34.05,36.0,7.170119543449628,5.332718793265369,6.638567789166521,5.37989735354046,3.5179,1,0,0,0,0,175177.79523809528
-119.61,36.59,10.0,7.952615111651,6.431331081933479,7.275172319452771,6.3578422665081,2.2727,0,1,0,0,0,78432.28518518519
-118.38,34.19,37.0,7.268920128193722,5.978885764901122,7.419380582918692,6.003887067106539,2.4375,1,0,0,0,0,193439.5748677248
